symbol,HEK293T_HS_rep1,HEK293T_HS_rep2,HEK293T_CTRL_rep1,HEK293T_CTRL_rep2,U2OS_ERR468934,U2OS_ERR468935,U2OS_ERR468936,U2OS_ERR468937,U2OS_ERR468932,U2OS_ERR468933
GPR21,0.050000020000008,0.0400000260000169,0.2399996760004373,0.2399996760004373,0.0,0.0,0.0,0.0,0.0,0.0
GPR22,0.0200000080000032,0.0200000130000084,0.3299995545006014,0.3299995545006014,0.0893087511591159,0.0,0.0,0.0,0.0,0.0
GPR25,0.0,0.0,0.0,0.0,0.0,0.0,0.0909882920815164,0.0,0.0903631741149265,0.0
GPR26,0.0300000120000047,0.0,0.0099999865000182,0.0099999865000182,0.0,0.0,0.0,0.0,0.0,0.0931514929250044
GPR27,9.760003904001564,9.370006090503958,14.149980897525788,14.149980897525788,6.251612581138117,6.143055313771199,6.0962155694616,6.303674096447114,4.156706009286624,4.657574646250219
GPR3,0.7200002880001152,0.980000637000414,0.6999990550012757,0.6999990550012757,11.43152014836684,12.664144800697548,12.556384307249266,6.03351663517081,5.241064098665742,3.632908224075171
GPR31,0.0,0.0,0.0,0.0,0.0,0.0,0.0909882920815164,0.0,0.0,0.0
GPR32,0.0400000160000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR34,0.0,0.0300000195000126,0.2299996895004191,0.2299996895004191,0.0,0.0945085432887876,0.0,0.0900524870921016,0.0,0.0
GPR35,0.1700000680000272,0.2800001820001183,0.7399990010013485,0.7399990010013485,0.6251612581138117,0.283525629866363,0.3639531683260656,0.8104723838289147,0.9939949152641926,1.5835753797250745
GPR37,0.9800003920001568,1.150000747500486,1.0099986365018403,1.0099986365018403,1.607557520864087,0.9450854328878768,1.3648243812227463,1.440839793473626,1.7169003081836052,0.931514929250044
GPR37L1,0.0400000160000064,0.0700000455000295,0.1499997975002733,0.1499997975002733,0.0893087511591159,0.4725427164439383,0.1819765841630328,0.2701574612763048,0.1807263482298531,0.2794544787750131
GPR39,0.0,0.0300000195000126,0.3299995545006014,0.3299995545006014,8.484331360116016,9.450854328878767,8.552899455662542,4.052361919144573,2.710895223447798,2.701393294825127
GPR4,0.1300000520000208,0.090000058500038,0.0199999730000364,0.0199999730000364,3.3044237928872904,3.3077990151075687,4.094473143668239,4.052361919144573,5.421790446895596,6.241150025975294
GPR45,0.200000080000032,0.2000001300000845,0.3299995545006014,0.3299995545006014,11.520828899525958,6.710106573503925,12.1924311389232,3.421994509499862,3.1627110940224306,2.421938816050114
GPR50,4.240001696000679,4.560002964001927,1.2199983530022234,1.2199983530022234,0.3572350046364638,0.283525629866363,0.7279063366521312,0.5403149225526097,0.4518158705746329,0.0
GPR50-AS1,0.0,0.0600000390000253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931514929250044
GPR52,0.0,0.0,0.7199990280013121,0.7199990280013121,0.0,0.0,0.0,0.0900524870921016,0.0,0.0
GPR55,0.0,0.0,0.0,0.0,0.4465437557955797,0.0945085432887876,0.8188946287336477,0.1801049741842032,0.5421790446895596,0.2794544787750131
GPR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0903631741149265,0.0
GPR61,0.2200000880000352,0.4500002925001901,0.1599997840002915,0.1599997840002915,0.0893087511591159,0.0,0.2729648762445492,0.0900524870921016,0.0903631741149265,0.0
GPR62,0.0300000120000047,0.0,0.0599999190001093,0.0599999190001093,0.9823962627502756,0.3780341731551507,0.2729648762445492,0.9005248709210163,0.5421790446895596,1.3972723938750655
